year,full_name
2020,Beate Heister & Karl Albrecht Jr.
2020,Hinduja brothers
2020,Udo & Harald Tschira
2020,Robert & Philip Ng
2020,Hank & Doug Meijer
2020,Stewart and Lynda Resnick
2020,Judy Love & family
2020,Ian & Richard Livingstone
2020,Kuldip Singh & Gurbachan Singh Dhingra
2020,Kwee brothers
2020,Bajaj brothers
2020,Augusto & Giorgio Perfetti
2020,Lam Wai-ying
2020,Abdulla bin Ahmad Al Ghurair & family
2020,Lee Yeow Chor & Yeow Seng
2020,Kapil & Rahul Bhatia
2020,Majid Al Futtaim & family
2020,Anthony von Mandl
2020,Guenther Lehmann & family
2020,Li Haiyan
2020,Paolo & Gianfelice Mario Rocca
2020,Martin & Olivier Bouygues
2020,Andrew & Peggy Cherng
2020,Maximilian Viessmann
2020,Cheng Yixiao
2020,Shashi & Ravi Ruia
2020,Abdulla Al Futtaim & family
2020,Vinod & Anil Rai Gupta
2020,Marcos Galperin
2020,Klaus-Peter Schulenberg
2020,Pan Laican
2020,Christiane Schoeller
2020,Lai Jianping
2020,Lu Di
2020,Maren Otto
2020,Kiat Chiaravanont
2020,Chan Tan Ching-fen
2020,Christian Herz
2020,Michaela Herz
2020,Karin Schick
2020,Anna Katharina Viessmann
2020,Cai Hongbin
2020,Benedicte Find
