year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2020,4,1,113.0 B,Bezos,Jeff,Jeff Bezos,1964-01-12,56,Male,United States,United States,Seattle,Technology,['Technology'],Amazon,Entrepreneur,True,Decreased
2020,4,2,98.0 B,Gates,Bill,Bill Gates,1955-10-28,64,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2020,4,3,76.0 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,71,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Remained Even
2020,4,4,67.5 B,Buffett,Warren,Warren Buffett,1930-08-30,89,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway,CEO,True,Decreased
2020,4,5,59.0 B,Ellison,Larry,Larry Ellison,1944-08-17,75,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,True,Decreased
2020,4,6,55.1 B,Ortega,Amancio,Amancio Ortega,1936-03-28,84,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2020,4,7,54.7 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,35,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Decreased
2020,4,8,54.6 B,Walton,Jim,Jim Walton,1948-06-07,71,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2020,4,9,54.4 B,Walton,Alice,Alice Walton,1949-10-07,70,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2020,4,10,54.1 B,Walton,Rob,Rob Walton,1944-10-27,75,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,False,Increased
