year	month	rank	net_worth	last_name	first_name	full_name	birth_date	age	gender	country_of_citizenship	country_of_residence	city_of_residence	business_category	business_industries	organization_name	position_in_organization	self_made	wealth_status
2023	4	1	211.0 B	Arnault	Bernard	Bernard Arnault & family	1949/03/05	74	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']	LVMH Moet Hennessy Louis Vuitton	Chairman and CEO	FALSE	Increased
2023	4	2	180.0 B	Musk	Elon	Elon Musk	1971/06/28	51	Male	United States	United States	Austin	Automotive	['Automotive']	Tesla	CEO	TRUE	Decreased
2023	4	3	114.0 B	Bezos	Jeff	Jeff Bezos	1964/01/12	59	Male	United States	United States	Medina	Technology	['Technology']	Amazon	Chairman and Founder	TRUE	Decreased
2023	4	4	107.0 B	Ellison	Larry	Larry Ellison	1944/08/17	78	Male	United States	United States	Lanai	Technology	['Technology']	Oracle	CTO and Founder	TRUE	Increased
2023	4	5	106.0 B	Buffett	Warren	Warren Buffett	1930/08/30	92	Male	United States	United States	Omaha	Finance & Investments	['Finance & Investments']	Berkshire Hathaway Inc. (Cl A)	CEO	TRUE	Decreased
2023	4	6	104.0 B	Gates	Bill	Bill Gates	1955/10/28	67	Male	United States	United States	Medina	Technology	['Technology']	Bill & Melinda Gates Foundation	Cochair	TRUE	Decreased
2023	4	7	94.5 B	Bloomberg	Michael	Michael Bloomberg	1942/02/14	81	Male	United States	United States	New York	Media & Entertainment	['Media & Entertainment']	Bloomberg	CEO	TRUE	Increased
2023	4	8	93.0 B	Slim Helu	Carlos	Carlos Slim Helu & family	1940/01/28	83	Male	Mexico	Mexico	Mexico City	Telecom	['Telecom']	America Movil SAB de CV (ADR)	Honorary Chairman	TRUE	Increased
2023	4	9	83.4 B	Ambani	Mukesh	Mukesh Ambani	1957/04/19	65	Male	India	India	Mumbai	Diversified	['Diversified']	Reliance Industries Ltd.	Founder and Chairman	FALSE	Decreased
2023	4	10	80.7 B	Ballmer	Steve	Steve Ballmer	1956/03/24	67	Male	United States	United States	Hunts Point	Technology	['Technology']	Los Angeles Clippers	Owner	TRUE	Decreased
2023	4	11	80.5 B	Bettencourt Meyers	Francoise	Francoise Bettencourt Meyers & family	1953/07/10	69	Female	France	France	Paris	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2023	4	12	79.2 B	Page	Larry	Larry Page	1973/03/26	50	Male	United States	United States	Palo Alto	Technology	['Technology']	Alphabet	Cofounder and board member	TRUE	Decreased
2023	4	13	77.3 B	Ortega	Amancio	Amancio Ortega	1936/03/28	87	Male	Spain	Spain	La Coruna	Fashion & Retail	['Fashion & Retail']			TRUE	Increased
2023	4	14	76.0 B	Brin	Sergey	Sergey Brin	1973/08/21	49	Male	United States	United States	Los Altos	Technology	['Technology']	Alphabet	Cofounder and board member	TRUE	Decreased
2023	4	15	68.0 B	Zhong	Shanshan	Zhong Shanshan	1954/12/01	68	Male	China	China	Hangzhou	Food & Beverage	['Food & Beverage']			TRUE	Increased
2023	4	16	64.4 B	Zuckerberg	Mark	Mark Zuckerberg	1984/05/14	38	Male	United States	United States	Palo Alto	Technology	['Technology']	Meta Platforms	Cofounder	TRUE	Decreased
2023	4	17	59.0 B	Koch	Charles	Charles Koch & family	1935/11/01	87	Male	United States	United States	Wichita	Diversified	['Diversified']	Koch Industries, Inc.	Chairman and CEO	FALSE	Decreased
2023	4	17	59.0 B	Koch	Julia	Julia Koch & family	1962/04/12	60	Female	United States	United States	New York	Diversified	['Diversified']			FALSE	Decreased
2023	4	19	58.8 B	Walton	Jim	Jim Walton	1948/06/07	74	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Arvest Bank Group, Inc.	Chairman and CEO	FALSE	Decreased
2023	4	20	57.6 B	Walton	Rob	Rob Walton & family	1944/10/27	78	Male	United States	United States	Bentonville	Fashion & Retail	['Fashion & Retail']	Walmart	Director	FALSE	Decreased
2023	4	21	56.7 B	Walton	Alice	Alice Walton	1949/10/07	73	Female	United States	United States	Fort Worth	Fashion & Retail	['Fashion & Retail']	Crystal Bridges Museum of American Art	Philanthropist	FALSE	Decreased
2023	4	22	54.4 B	Thomson	David	David Thomson & family	1957/06/12	65	Male	Canada	Canada	Toronto	Media & Entertainment	['Media & Entertainment']	Thomson Reuters Corporation	Chairman	FALSE	Increased
2023	4	23	50.1 B	Dell	Michael	Michael Dell	1965/02/23	58	Male	United States	United States	Austin	Technology	['Technology']	Dell Inc.	Chairman and CEO	TRUE	Decreased
2023	4	24	47.2 B	Adani	Gautam	Gautam Adani	1962/06/24	60	Male	India	India	Ahmedabad	Diversified	['Diversified']			TRUE	Decreased
2023	4	25	45.1 B	Knight	Phil	Phil Knight & family	1938/02/24	85	Male	United States	United States	Hillsboro	Fashion & Retail	['Fashion & Retail']	Nike	Chairman	TRUE	Decreased
2023	4	26	45.0 B	Zhang	Yiming	Zhang Yiming	1984/01/01	39	Male	China	China	Beijing	Technology	['Technology']	ByteDance	Founder	TRUE	Decreased
2023	4	27	42.9 B	Schwarz	Dieter	Dieter Schwarz	1939/09/24	83	Male	Germany	Germany	Neckarsulm	Fashion & Retail	['Fashion & Retail']			FALSE	Decreased
2023	4	28	40.1 B	Pinault	François	François Pinault & family	1936/08/21	86	Male	France	France	Paris	Fashion & Retail	['Fashion & Retail']			TRUE	Decreased
2023	4	29	39.1 B	Kuehne	Klaus-Michael	Klaus-Michael Kuehne	1937/06/02	85	Male	Germany	Switzerland	Schindellegi	Logistics	['Logistics']			FALSE	Increased
2023	4	30	38.9 B	Ferrero	Giovanni	Giovanni Ferrero	1964/09/21	58	Male	Italy	Belgium	Brussels	Food & Beverage	['Food & Beverage']			FALSE	Increased
2023	4	31	38.3 B	Mars	Jacqueline	Jacqueline Mars	1939/10/10	83	Female	United States	United States	The Plains	Food & Beverage	['Food & Beverage']			FALSE	Increased
2023	4	31	38.3 B	Mars	John	John Mars	1935/10/15	87	Male	United States	United States	Jackson	Food & Beverage	['Food & Beverage']			FALSE	Increased
2023	4	33	38.0 B	Li	Ka-shing	Li Ka-shing	1928/06/13	94	Male	Hong Kong	Hong Kong		Diversified	['Diversified']	CK Hutchison Holdings	Senior Advisor	TRUE	Increased
2023	4	34	35.3 B	Ma	Huateng	Ma Huateng	1971/10/29	51	Male	China	China	Shenzhen	Technology	['Technology']	Tencent	Chairman and CEO	TRUE	Decreased
2023	4	35	35.0 B	Adelson	Miriam	Miriam Adelson & family	1945/10/10	77	Female	United States	United States	Las Vegas	Gambling & Casinos	['Gambling & Casinos']			FALSE	Increased
2023	4	35	35.0 B	Griffin	Ken	Ken Griffin	1968/10/15	54	Male	United States	United States	Miami	Finance & Investments	['Finance & Investments']	Citadel LLC	Founder & CEO	TRUE	Increased
2023	4	37	34.7 B	Mateschitz	Mark	Mark Mateschitz	1992/05/07	30	Male	Austria	Austria	Salzburg	Food & Beverage	['Food & Beverage']			FALSE	
2023	4	38	33.4 B	Zeng	Robin	Robin Zeng	1969/01/01	54	Male	Hong Kong	China	Ningde	Automotive	['Automotive']			TRUE	Decreased
2023	4	39	32.6 B	Yanai	Tadashi	Tadashi Yanai & family	1949/02/07	74	Male	Japan	Japan	Tokyo	Fashion & Retail	['Fashion & Retail']			TRUE	Increased
2023	4	40	32.1 B	Blavatnik	Len	Len Blavatnik	1957/06/01	65	Male	United States	United Kingdom	London	Diversified	['Diversified']			TRUE	Decreased
2023	4	41	31.6 B	Wertheimer	Alain	Alain Wertheimer	1948/08/28	74	Male	France	United States	New York	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2023	4	41	31.6 B	Wertheimer	Gerard	Gerard Wertheimer	1951/01/09	72	Male	France	United States	New York	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2023	4	43	31.2 B	Aponte	Gianluigi	Gianluigi Aponte	1940/06/27	82	Male	Switzerland	Switzerland	Geneva	Logistics	['Logistics']			TRUE	
2023	4	43	31.2 B	Aponte-Diamant	Rafaela	Rafaela Aponte-Diamant	1945/03/26	78	Female	Switzerland	Switzerland	Geneva	Logistics	['Logistics']			TRUE	
2023	4	45	30.2 B	Huang	Colin Zheng	Colin Huang	1980/02/02	43	Male	China	China	Shanghai	Technology	['Technology']			TRUE	Increased
2023	4	46	29.7 B	Wuerth	Reinhold	Reinhold Wuerth & family	1935/04/20	87	Male	Germany	Germany	Kuenzelsau	Manufacturing	['Manufacturing']			TRUE	Increased
2023	4	47	29.5 B	Lee	Shau Kee	Lee Shau Kee	1928/01/29	95	Male	Hong Kong	Hong Kong	Hong Kong	Real Estate	['Real Estate']			TRUE	Decreased
2023	4	48	28.5 B	Yass	Jeff	Jeff Yass	1958/07/17	64	Male	United States	United States	Haverford	Finance & Investments	['Finance & Investments']			TRUE	Increased
2023	4	49	28.1 B	Simons	Jim	Jim Simons	1938/04/25	84	Male	United States	United States	East Setauket	Finance & Investments	['Finance & Investments']	Renaissance Technologies Corp.	Founder	TRUE	Decreased
2023	4	50	27.8 B	Schwarzman	Stephen	Stephen Schwarzman	1947/02/14	76	Male	United States	United States	New York	Finance & Investments	['Finance & Investments']	Blackstone Group	Chairman and CEO	TRUE	Decreased
2023	4	51	27.4 B	Klatten	Susanne	Susanne Klatten	1962/04/28	60	Female	Germany	Germany	Bad Homburg	Automotive	['Automotive']			FALSE	Increased
2023	4	52	27.0 B	Rinehart	Gina	Gina Rinehart	1954/02/09	69	Female	Australia	Australia	Perth	Metals & Mining	['Metals & Mining']	Hancock Prospecting	Executive Chairman	FALSE	Decreased
2023	4	53	26.7 B	Ding	William	William Ding	1971/10/01	51	Male	China	China	Hangzhou	Technology	['Technology']			TRUE	Increased
2023	4	54	26.6 B	Larrea Mota Velasco	Germán	Germán Larrea Mota Velasco & family	1953/10/26	69	Male	Mexico	Mexico	Mexico City	Metals & Mining	['Metals & Mining']			FALSE	Decreased
2023	4	55	25.6 B	Nadar	Shiv	Shiv Nadar	1945/07/18	77	Male	India	India	Delhi	Technology	['Technology']			TRUE	Decreased
2023	4	56	25.5 B	Low Tuck	Kwong	Low Tuck Kwong	1948/04/17	74	Male	Indonesia	Indonesia	Jakarta	Energy	['Energy']			TRUE	Increased
2023	4	57	25.3 B	Peterffy	Thomas	Thomas Peterffy	1944/09/30	78	Male	United States	United States	Palm Beach	Finance & Investments	['Finance & Investments']			TRUE	Increased
2023	4	58	25.2 B	Melnichenko	Andrey	Andrey Melnichenko & family	1972/03/08	51	Male	Russia	United Arab Emirates	Ras Al Khaimah	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	59	24.6 B	Quandt	Stefan	Stefan Quandt	1966/05/09	56	Male	Germany	Germany	Frankfurt	Automotive	['Automotive']			FALSE	Increased
2023	4	60	24.4 B	Scott	MacKenzie	MacKenzie Scott	1970/04/07	52	Female	United States	United States	Seattle	Technology	['Technology']		Philanthropist	FALSE	Decreased
2023	4	61	24.2 B	Hartono	R. Budi	R. Budi Hartono	1941/01/01	82	Male	Indonesia	Indonesia	Kudus	Finance & Investments	['Finance & Investments']			FALSE	Increased
2023	4	62	23.7 B	Potanin	Vladimir	Vladimir Potanin	1961/01/03	62	Male	Russia	Russia	Moscow	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	63	23.5 B	Ma	Jack	Jack Ma	1964/09/10	58	Male	China	China	Hangzhou	Technology	['Technology']			TRUE	Increased
2023	4	64	23.4 B	He	Xiangjian	He Xiangjian & family	1942/08/11	80	Male	China	China	Foshan	Manufacturing	['Manufacturing']			TRUE	Decreased
2023	4	65	23.1 B	Fontbona	Iris	Iris Fontbona & family	1943/01/01	80	Female	Chile	Chile	Santiago	Metals & Mining	['Metals & Mining']			FALSE	Increased
2023	4	65	23.1 B	Hartono	Michael	Michael Hartono	1939/10/02	83	Male	Indonesia	Indonesia	Kudus	Manufacturing	['Manufacturing']			FALSE	Increased
2023	4	67	22.9 B	Ratcliffe	James	James Ratcliffe	1953/01/01	70	Male	United Kingdom	United Kingdom	London	Manufacturing	['Manufacturing']			TRUE	Increased
2023	4	68	22.6 B	Poonawalla	Cyrus	Cyrus Poonawalla	1941/05/11	81	Male	India	India	Pune	Healthcare	['Healthcare']			FALSE	Decreased
2023	4	69	22.4 B	Son	Masayoshi	Masayoshi Son	1957/08/11	65	Male	Japan	Japan	Tokyo	Telecom	['Telecom']	SoftBank Group Corp.	CEO	TRUE	Increased
2023	4	70	22.1 B	Lisin	Vladimir	Vladimir Lisin	1956/05/07	66	Male	Russia	Russia	Moscow	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	71	22.0 B	Besnier	Emmanuel	Emmanuel Besnier	1970/09/18	52	Male	France	France	Laval	Food & Beverage	['Food & Beverage']			FALSE	Decreased
2023	4	72	21.6 B	Johnson	Abigail	Abigail Johnson	1961/12/19	61	Female	United States	United States	Milton	Finance & Investments	['Finance & Investments']	Fidelity Investments	CEO	FALSE	Increased
2023	4	72	21.6 B	Mikhelson	Leonid	Leonid Mikhelson & family	1955/08/11	67	Male	Russia	Russia	Moscow	Energy	['Energy']			TRUE	Increased
2023	4	74	21.2 B	Walton	Lukas	Lukas Walton	1986/09/19	36	Male	United States	United States	Chicago	Fashion & Retail	['Fashion & Retail']			FALSE	Increased
2023	4	74	21.2 B	Wang	Wei	Wang Wei	1970/10/01	52	Male	China	China	Shenzhen	Service	['Service']			TRUE	Decreased
2023	4	76	21.1 B	Huang	Jensen	Jensen Huang	1963/02/17	60	Male	United States	United States	Los Altos	Technology	['Technology']	Nvidia	CEO & President	TRUE	Increased
2023	4	77	21.0 B	Lauder	Leonard	Leonard Lauder	1933/03/19	90	Male	United States	United States	New York	Fashion & Retail	['Fashion & Retail']	The Estée Lauder Companies	Chairman Emeritus	FALSE	Decreased
2023	4	77	21.0 B	Takizaki	Takemitsu	Takemitsu Takizaki	1945/06/10	77	Male	Japan	Japan	Osaka	Manufacturing	['Manufacturing']			TRUE	Decreased
2023	4	79	20.9 B	Mordashov	Alexey	Alexey Mordashov & family	1965/09/26	57	Male	Russia	Russia	Moscow	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	80	20.5 B	Alekperov	Vagit	Vagit Alekperov	1950/09/01	72	Male	Russia	Russia	Moscow	Energy	['Energy']			TRUE	Increased
2023	4	81	20.2 B	Frist	Thomas	Thomas Frist, Jr. & family	1938/08/12	84	Male	United States	United States	Nashville	Healthcare	['Healthcare']			TRUE	Decreased
2023	4	82	19.6 B	Forrest	Andrew	Andrew Forrest & family	1961/11/18	61	Male	Australia	Australia	Perth	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	83	19.1 B	Dalio	Ray	Ray Dalio	1949/08/08	73	Male	United States	United States	Greenwich	Finance & Investments	['Finance & Investments']	Bridgewater Associates	Founder & Co-Chief Investment Officer	TRUE	Decreased
2023	4	84	19.0 B	Li	Eric	Eric Li	1963/06/01	59	Male	China	China	Hangzhou	Automotive	['Automotive']			TRUE	Decreased
2023	4	84	19.0 B	Wang	Wenyin	Wang Wenyin	1968/03/01	55	Male	China	China	Shenzhen	Metals & Mining	['Metals & Mining']			TRUE	Increased
2023	4	86	18.9 B	Ofer	Eyal	Eyal Ofer	1950/06/02	72	Male	Israel	Monaco	Monte Carlo	Diversified	['Diversified']			FALSE	Increased
2023	4	86	18.9 B	Qin	Yinglin	Qin Yinglin	1965/04/17	57	Male	China	China	Nanyang	Food & Beverage	['Food & Beverage']			TRUE	Decreased
2023	4	88	18.7 B	Wang	Chuanfu	Wang Chuanfu	1966/02/15	57	Male	China	China	Shenzhen	Automotive	['Automotive']			TRUE	Decreased
2023	4	89	18.5 B	Hamm	Harold	Harold Hamm & family	1945/12/11	77	Male	United States	United States	Oklahoma City	Energy	['Energy']	Continental Resources Inc. 	Chairman and CEO	TRUE	Increased
2023	4	89	18.5 B	Tepper	David	David Tepper	1957/09/11	65	Male	United States	United States	Palm Beach	Finance & Investments	['Finance & Investments']	Appaloosa Management	President and Founder	TRUE	Increased
2023	4	89	18.5 B	Timchenko	Gennady	Gennady Timchenko	1952/11/09	70	Male	Russia	Russia	Moscow	Energy	['Energy']			TRUE	Increased
2023	4	92	18.0 B	Gilbert	Daniel	Daniel Gilbert	1962/01/17	61	Male	United States	United States	Franklin	Finance & Investments	['Finance & Investments']			TRUE	Decreased
2023	4	93	17.7 B	Mittal	Lakshmi	Lakshmi Mittal	1950/06/15	72	Male	India	United Kingdom	London	Metals & Mining	['Metals & Mining']	ArcelorMittal (ADR)	Chairman and CEO	FALSE	Decreased
2023	4	94	17.5 B	Cohen	Steve	Steve Cohen	1956/06/11	66	Male	United States	United States	Greenwich	Finance & Investments	['Finance & Investments']	Point72 Asset Management	Founder	TRUE	Increased
2023	4	94	17.5 B	Icahn	Carl	Carl Icahn	1936/02/16	87	Male	United States	United States	Indian Creek	Finance & Investments	['Finance & Investments']	Icahn Capital Management	Founder	TRUE	Increased
2023	4	94	17.5 B	Jindal	Savitri	Savitri Jindal & family	1950/03/20	73	Female	India	India	Hisar	Metals & Mining	['Metals & Mining']			FALSE	Decreased
2023	4	97	17.4 B	Bren	Donald	Donald Bren	1932/05/11	90	Male	United States	United States	Newport Beach	Real Estate	['Real Estate']	Irvine Company	Chairman	TRUE	Increased
2023	4	97	17.4 B	Menard	John	John Menard, Jr.	1940/01/22	83	Male	United States	United States	Eau Claire	Fashion & Retail	['Fashion & Retail']	Menard, Inc.	Founder	TRUE	Increased
2023	4	99	17.1 B	Murdoch	Rupert	Rupert Murdoch & family	1931/03/11	92	Male	United States	United States	New York	Media & Entertainment	['Media & Entertainment']	News Corp Class A	Chairman and CEO	FALSE	Decreased
2023	4	100	16.7 B	Safra	Vicky	Vicky Safra & family	1953/01/01	70	Female	Brazil	Switzerland	Crans-Montana	Finance & Investments	['Finance & Investments']			FALSE	Increased
2023	4	101	16.5 B	Albrecht	Theo	Theo Albrecht, Jr. & family	1951/01/01	72	Male	Germany	Germany	Mulheim an der Ruhr	Fashion & Retail	['Fashion & Retail']			FALSE	Decreased
